"month","day","year","day_of_year","date","zone","type_of_site","site.number1","number_of_visit","site","latitude","longitude","elevation","net_open","net_close","rain_time","net_no","temperature","wind","cloud","bander_id","band","species","sex","plumage","beak_length","beak_depth","beak_width","head_length","head_depth","head_width","tarsus","wing","mass","pox_iur","pox_scale","pox_size_lesion","fecal","philornis","slide","swab","feather","blood","recaptured","notes","x","x.1","x.2","visit.site.number","estado.reproductivo","narina","plasma","color.band","territory","hemoglobin","hematocrit","exportar_sangre","exportar_swab","check_number","taxon","ncaps","capturen","n_estados","habitat","shannons","operating_hours","net_hours","total_daily_caps","bird_dens","banded","year_month","year_week","inf_stat","smis","meant","condition"
3,18,2022,77,2022-03-18,"Puerto ayora-FCD","bosque",0,0,"Barranco",-0.7386212,-90.3017273,0,6H 40M 0S,9H 40M 0S,0S,2,NA,NA,"Clear","IG","SM1300","FOR","M",1,12.08,12.72,10.94,NA,NA,NA,18.7,71,23.9,"U",NA,NA,0,"0",0,1,0,1,0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geospiza fortis",1,1,1,"arid",1.68663300119792,3,6,8,1.33333333333333,1,2022-03-01,2022-03-13,0,1.9403313191876,19.7446603970742,26.5586112936606
3,18,2022,77,2022-03-18,"Puerto ayora-FCD","bosque",0,0,"Barranco",-0.7386212,-90.3017273,0,6H 40M 0S,9H 40M 0S,0S,2,NA,NA,"Clear","IG","SM301","FOR","U",0,12.06,13.08,10.41,NA,NA,NA,20.03,68,21.37,"U",NA,NA,0,"0",0,1,0,0,0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geospiza fortis",1,1,1,"arid",1.68663300119792,3,6,8,1.33333333333333,1,2022-03-01,2022-03-13,0,1.9403313191876,19.7446603970742,20.783264879518
3,18,2022,77,2022-03-18,"Puerto ayora-FCD","bosque",0,0,"Barranco",-0.7386212,-90.3017273,0,6H 40M 0S,9H 40M 0S,0S,2,NA,NA,"Clear","IG","SM228","FUL","M",4,9.21,7.85,7.4,NA,NA,NA,17,63,13.66,"U",NA,NA,0,"0",0,0,0,1,0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geospiza fuliginosa",1,1,1,"arid",1.68663300119792,3,6,8,1.33333333333333,1,2022-03-01,2022-03-13,0,1.12844428286624,17.5854725085911,14.1920328786369
3,18,2022,77,2022-03-18,"Puerto ayora-FCD","bosque",0,0,"Barranco",-0.7386212,-90.3017273,0,6H 40M 0S,9H 40M 0S,0S,2,NA,NA,"Clear","SM","SM1302","SCA","M",5,12.77,10.03,8.7,NA,NA,NA,19.8,70,21.52,"U",NA,NA,0,"0",0,1,0,1,0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geospiza scandens",1,1,1,"arid",1.68663300119792,3,6,8,1.33333333333333,1,2022-03-01,2022-03-13,0,1.66741674531765,19.9096598639456,21.7190995922154
3,18,2022,77,2022-03-18,"Puerto ayora-FCD","bosque",0,0,"Barranco",-0.7386212,-90.3017273,0,6H 40M 0S,9H 40M 0S,0S,2,NA,NA,"Clear","IG","SM229","FUL","M",4,9.02,7.55,7.47,NA,NA,NA,16.93,64,9.71,"U",NA,NA,0,"0",0,1,0,1,0,"brood patch","missing 1 toe","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geospiza fuliginosa",1,1,1,"arid",1.68663300119792,3,6,8,1.33333333333333,1,2022-03-01,2022-03-13,0,1.12844428286624,17.5854725085911,10.1352687690065
3,18,2022,77,2022-03-18,"Puerto ayora-FCD","bosque",0,0,"Barranco",-0.7386212,-90.3017273,0,6H 40M 0S,9H 40M 0S,0S,2,NA,NA,"Clear","IG","SM1303","FOR","F",0,14.1,13,11.69,NA,NA,NA,19.1,74,26.33,"R",NA,NA,0,"0",0,1,0,1,0,"small wound","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geospiza fortis",1,1,1,"arid",1.68663300119792,3,6,8,1.33333333333333,1,2022-03-01,2022-03-13,0,1.9403313191876,19.7446603970742,28.0816912251885
3,18,2022,77,2022-03-18,"Puerto ayora-FCD","bosque",0,0,"Barranco",-0.7386212,-90.3017273,0,6H 40M 0S,9H 40M 0S,0S,2,NA,NA,"Clear","IG","SM1304","CRA","M",5,11.14,11.28,10.28,NA,NA,NA,23.66,83,29.13,"U",NA,NA,0,"0",0,1,0,1,0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platyspiza crassirostris",1,1,1,"arid",1.68663300119792,3,6,8,1.33333333333333,1,2022-03-01,2022-03-13,0,1.64170880351475,24.9607580174927,31.8052468900592
3,18,2022,77,2022-03-18,"Puerto ayora-FCD","bosque",0,0,"Barranco",-0.7386212,-90.3017273,0,6H 40M 0S,9H 40M 0S,0S,2,NA,NA,"Clear","SM","SM1305","FOR","U",0,11.96,11.61,9.52,NA,NA,NA,18.62,64,20,"U",NA,NA,0,"0",0,1,0,1,0,"Incubation patch","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geospiza fortis",1,1,1,"arid",1.68663300119792,3,6,8,1.33333333333333,1,2022-03-01,2022-03-13,0,1.9403313191876,19.7446603970742,22.4104314810528
3,19,2022,78,2022-03-19,"Santa Rosa","bosque",1,1,"Los Gemelos",-0.6238065,-90.3845436,610,6H 20M 0S,8H 30M 0S,0S,3,NA,NA,"Partly cloudy","DL","SM230","OLI","F",NA,7.65,4.08,3.59,NA,NA,NA,19.44,50,8.47,"U",NA,NA,1,"A",0,1,0,0,0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certhidea olivacea",2,1,1,"natural",1.65513188496053,2.16666666666667,6.5,12,1.84615384615385,1,2022-03-01,2022-03-13,0,1.50892097981883,18.6485365853659,7.95509037175909
3,19,2022,78,2022-03-19,"Santa Rosa","bosque",1,1,"Los Gemelos",-0.6238065,-90.3845436,610,6H 20M 0S,8H 30M 0S,0S,3,NA,NA,"Partly cloudy","DL","SM231","OLI","M",NA,7.39,3.78,3.94,NA,NA,NA,18.31,52,9.43,"U",NA,NA,0,"A",0,1,0,1,0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certhidea olivacea",2,1,1,"natural",1.65513188496053,2.16666666666667,6.5,12,1.84615384615385,1,2022-03-01,2022-03-13,0,1.50892097981883,18.6485365853659,9.69431864681333
