"site","latitude","longitude","habitat"
"Barranco",-0.7386212,-90.3017273,"arid"
"Los Gemelos",-0.6238065,-90.3845436,"natural"
"Los Manzanillos",-0.6990964,-90.40245,"natural"
"Kelvin Gaona",-0.7124518,-90.3583274,"fruit_vegetable"
"Rosa Calva",-0.6731258,-90.2631579,"fruit_vegetable"
"Carmen Ramon",-0.6552219,-90.4075372,"fruit_vegetable"
"Mario Piu",-0.7025606,-90.3538699,"coffee"
"Peter Schiess",-0.666007,-90.3913806,"pasture"
"Patricia Ortiz",-0.6895213,-90.3015195,"pasture"
"Miguel Ramon",-0.6340509,-90.432526,"pasture"
"Cerro Mesa",-0.6361194,-90.2908302,"natural"
"Quiman Valle",-0.6457372,-90.2930558,"pasture"
"Maria Elena Guerra",-0.700825,-90.3190052,"coffee"
"Reina Oleas",-0.6824341,-90.3950559,"coffee"
"Ana Chapi",-0.6580223,-90.4253685,"coffee"
"Efren Herrera",-0.6652275,-90.4169802,"pasture"
"Robert Christen",-0.6708122,-90.2827119,"coffee"
"Clemente Troya",-0.6798509,-90.3105804,"fruit_vegetable"
"Garrapatero",-0.68624,-90.22283,"arid"
