month,day,year,day_of_year,date,zone,type_of_site,visit site number,site,Latitude,Longitude,Elevation,Net_open,Net_close,Rain_time,Net_no,Temperature,Wind,Cloud,Bander_ID,Species,Band,Sex,Plumage,Estado reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,Fecal,Narina,Slide,Swab,Blood,Plasma,Recaptured,Notes,Color band,territory,Hemoglobin,HEMATOCRIT,Exportar_sangre,Exportar_swab,check_number
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,DL,FOR,SM1712,M,5,0,11.96,11.88,7.05,20.57,73,21.58,R,NA,NA,0,0,1,0,1,0,,,,,,,,,
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,DL,FOR,SM1713,M,1,0,12.15,10.11,7.48,18.56,65,27.77,U,NA,NA,0,0,1,0,1,0,,,,,,,,,
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,DL,CRA,SM1714,U,0,0,9.8,10.54,7.89,24.57,78,28.45,U,NA,NA,0,0,1,0,1,0,,,,,,,,,
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,SM,GAMO,DC783,F,0,0,16.17,NA,NA,32.1,108,45.2,U,NA,NA,0,0,1,0,1,0,,,,,,,,,
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,SM,SCA,SM1715,F,0,0,13.29,8.9,7.5,18.47,63,21.11,U,NA,NA,0,0,1,0,1,0,,,,,,,,,
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,SM,FUL,SMA1259,U,0,0,8.46,7.9,7.01,17.94,59,14.69,R,NA,NA,0,0,1,0,1,0,,,,,,,,,
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,SM,FOR,SM1716,U,0,0,11.73,10.83,9.27,18.65,62,18.76,I,C,6.38,0,0,0,0,1,0,,,,,,,,,
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,SM,SCA,SM1717,U,0,0,13.32,8.77,7.6,18.68,66,22.71,R,NA,NA,0,0,1,0,1,0,,,,,,,,,
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,SM,FOR,SM1718,U,0,0,11.9,10.75,9.1,18.74,64,19.92,U,NA,NA,0,0,1,0,1,0,,,,,,,,,
2,2,2023,33,2-Feb-23,Puerto Ayora,arida,1,Barranco,-0.7386212,-90.3017273,0,6:00,9:00,0:00,3,NA,NA,clear,SM,FOR,SM1719,U,0,0,11.82,12.69,10.69,17.45,70,21.46,U,NA,NA,0,0,1,0,1,0,,,,,,,,,
