month,day,year,day_of_year,date,zone,type_of_site,site number1,number_of_visit,site,Latitude,Longitude,Elevation,Net_open,Net_close,Rain_time,Net_no,Temperature,Wind,Cloud,Bander_ID,Band,Species,Sex,Plumage,Beak_length,Beak_depth,Beak_width,Head_length,Head_depth,Head_width,Tarsus,Wing,Mass,Pox_IUR,Pox_scale,pox_size_lesion,Fecal,Philornis,Slide,Swab,Feather,Blood,Recaptured,Notes,,,
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,6:40,9:40,0:00,2,NA,NA,Clear,IG,SM1300,FOR,M,1,12.08,12.72,10.94,NA,NA,NA,18.7,71,23.9,U,NA,NA,0,0,0,1,0,1,0,,,,
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,6:40,9:40,0:00,2,NA,NA,Clear,IG,SM301,FOR,U,0,12.06,13.08,10.41,NA,NA,NA,20.03,68,21.37,U,NA,NA,0,0,0,1,0,0,0,,,,
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,6:40,9:40,0:00,2,NA,NA,Clear,IG,SM228,FUL,M,4,9.21,7.85,7.4,NA,NA,NA,17,63,13.66,U,NA,NA,0,0,0,0,0,1,0,,,,
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,6:40,9:40,0:00,2,NA,NA,Clear,SM,SM1302,SCA,M,5,12.77,10.03,8.7,NA,NA,NA,19.8,70,21.52,U,NA,NA,0,0,0,1,0,1,0,,,,
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,6:40,9:40,0:00,2,NA,NA,Clear,IG,SM229,FUL,M,4,9.02,7.55,7.47,NA,NA,NA,16.93,64,9.71,U,NA,NA,0,0,0,1,0,1,0,brood patch,missing 1 toe,,
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,6:40,9:40,0:00,2,NA,NA,Clear,IG,SM1303,FOR,F,0,14.1,13,11.69,NA,NA,NA,19.1,74,26.33,R,NA,NA,0,0,0,1,0,1,0,small wound,,,
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,6:40,9:40,0:00,2,NA,NA,Clear,IG,SM1304,CRA,M,5,11.14,11.28,10.28,NA,NA,NA,23.66,83,29.13,U,NA,NA,0,0,0,1,0,1,0,,,,
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,6:40,9:40,0:00,2,NA,NA,Clear,SM,SM1305,FOR,U,0,11.96,11.61,9.52,NA,NA,NA,18.62,64,20,U,NA,NA,0,0,0,1,0,1,0,Incubation patch,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,DL,SM230,OLI,F,NA,7.65,4.08,3.59,NA,NA,NA,19.44,50,8.47,U,NA,NA,1,A,0,1,0,0,0,,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,DL,SM231,OLI,M,NA,7.39,3.78,3.94,NA,NA,NA,18.31,52,9.43,U,NA,NA,0,A,0,1,0,1,0,,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,DL,SM232,OLI,U,NA,7.15,4.11,3.5,NA,NA,NA,19.3,52,9.3,U,NA,NA,1,A,0,1,0,1,0,Incubation patch,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,DL,SM233,OLI,F,NA,7.69,3.84,3.96,NA,NA,NA,18.97,50,9.36,U,NA,NA,1,A,0,1,0,1,0,,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,IG,SM234,OLI,M,NA,7.02,4.05,4.87,NA,NA,NA,19.3,51,9.37,U,NA,NA,0,A,0,1,0,1,0,Incubation patch,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,IG,SM235,OLI,F,NA,7.74,3.9,4.19,NA,NA,NA,18.53,54,8.86,U,NA,NA,1,A,0,1,0,1,0,,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,IG,SM236,PET,M,NA,9.2,NA,NA,NA,NA,NA,17.68,65,15.3,U,NA,NA,1,A,0,1,0,1,0,,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,SM,SM237,PET,M,NA,8.32,NA,NA,NA,NA,NA,18.15,63,11.79,U,NA,NA,1,A,0,1,0,1,0,,,,
