"site","habitat","latitude","longitude","elevation","sampling_days_2022","sampling_days_2023","sampling_days_2024","Prevalence","Total_captures"
"Barranco","arid",-0.7386212,-90.3017273,0,1,79,26,0.159,2421
"Los Gemelos","natural",-0.6238065,-90.3845436,610,7,4,0,0,147
"Los Manzanillos","natural",-0.6990964,-90.40245,160,7,0,0,0.016,63
"Kelvin Gaona","fruit_vegetable",-0.7124518,-90.3583274,120,7,0,0,0.047,299
"Rosa Calva","fruit_vegetable",-0.6731258,-90.2631579,240,7,0,0,0.055,219
"Carmen Ramon","fruit_vegetable",-0.6552219,-90.4075372,390,7,0,0,0.083,193
"Mario Piu","coffee",-0.7025606,-90.3538699,170,7,0,0,0.028,72
"Peter Schiess","pasture",-0.666007,-90.3913806,400,7,0,0,0.032,63
"Patricia Ortiz","pasture",-0.6895213,-90.3015195,200,7,0,0,0.09,89
"Miguel Ramon","pasture",-0.6340509,-90.432526,370,7,0,0,0.033,180
"Cerro Mesa","natural",-0.6361194,-90.2908302,430,7,0,0,0.04,253
"Quiman Valle","pasture",-0.6457372,-90.2930558,440,7,0,0,0.043,185
"Maria Elena Guerra","coffee",-0.700825,-90.3190052,180,8,1,0,0.078,282
"Reina Oleas","coffee",-0.6824341,-90.3950559,260,7,3,0,0.053,338
"Ana Chapi","coffee",-0.6580223,-90.4253685,330,7,0,0,0.029,140
"Efren Herrera","pasture",-0.6652275,-90.4169802,300,7,0,0,0.024,207
"Robert Christen","coffee",-0.6708122,-90.2827119,260,7,0,0,0.055,110
"Clemente Troya","fruit_vegetable",-0.6798509,-90.3105804,290,7,0,0,0.01,207
